"Method","m","File","F1_Score","Mean_F1_Score","M"
"synthpop",5,"IST-3 Data/Data/train_data/synthpop/syn_real_train_synthpop_1.csv",0.0721649484536083,0.0727718253521668,-0.0360091336847298
"synthpop",5,"IST-3 Data/Data/train_data/synthpop/syn_real_train_synthpop_2.csv",0.0717948717948718,0.0727718253521668,-0.0360091336847298
"synthpop",5,"IST-3 Data/Data/train_data/synthpop/syn_real_train_synthpop_3.csv",0.0732984293193717,0.0727718253521668,-0.0360091336847298
"synthpop",5,"IST-3 Data/Data/train_data/synthpop/syn_real_train_synthpop_4.csv",0.0729166666666667,0.0727718253521668,-0.0360091336847298
"synthpop",5,"IST-3 Data/Data/train_data/synthpop/syn_real_train_synthpop_5.csv",0.0736842105263158,0.0727718253521668,-0.0360091336847298
"arf",5,"IST-3 Data/Data/train_data/arf/syn_real_train_arf_1.csv",0.0729166666666667,0.0702342717420037,-0.0388443891150796
"arf",5,"IST-3 Data/Data/train_data/arf/syn_real_train_arf_2.csv",0.0625,0.0702342717420037,-0.0388443891150796
"arf",5,"IST-3 Data/Data/train_data/arf/syn_real_train_arf_3.csv",0.0717948717948718,0.0702342717420037,-0.0388443891150796
"arf",5,"IST-3 Data/Data/train_data/arf/syn_real_train_arf_4.csv",0.0717948717948718,0.0702342717420037,-0.0388443891150796
"arf",5,"IST-3 Data/Data/train_data/arf/syn_real_train_arf_5.csv",0.0721649484536083,0.0702342717420037,-0.0388443891150796
"privbayes",5,"IST-3 Data/Data/train_data/privbayes/syn_real_train_privbayes_1.csv",0.0703517587939699,0.0703517587939699,-0.0387131186659555
"privbayes",5,"IST-3 Data/Data/train_data/privbayes/syn_real_train_privbayes_2.csv",0.0703517587939699,0.0703517587939699,-0.0387131186659555
"privbayes",5,"IST-3 Data/Data/train_data/privbayes/syn_real_train_privbayes_3.csv",0.0703517587939699,0.0703517587939699,-0.0387131186659555
"privbayes",5,"IST-3 Data/Data/train_data/privbayes/syn_real_train_privbayes_4.csv",0.0703517587939699,0.0703517587939699,-0.0387131186659555
"privbayes",5,"IST-3 Data/Data/train_data/privbayes/syn_real_train_privbayes_5.csv",0.0703517587939699,0.0703517587939699,-0.0387131186659555
"ctgan",5,"IST-3 Data/Data/train_data/ctgan/syn_real_train_ctgan_1.csv",0.0710059171597633,0.0611003683057085,-0.0490498678148508
"ctgan",5,"IST-3 Data/Data/train_data/ctgan/syn_real_train_ctgan_2.csv",0.0496894409937888,0.0611003683057085,-0.0490498678148508
"ctgan",5,"IST-3 Data/Data/train_data/ctgan/syn_real_train_ctgan_3.csv",0.0617283950617284,0.0611003683057085,-0.0490498678148508
"ctgan",5,"IST-3 Data/Data/train_data/ctgan/syn_real_train_ctgan_4.csv",0.0617283950617284,0.0611003683057085,-0.0490498678148508
"ctgan",5,"IST-3 Data/Data/train_data/ctgan/syn_real_train_ctgan_5.csv",0.0613496932515337,0.0611003683057085,-0.0490498678148508
"tvae",5,"IST-3 Data/Data/train_data/tvae/syn_real_train_tvae_1.csv",0.0659340659340659,0.0641321567572171,-0.0456623946846736
"tvae",5,"IST-3 Data/Data/train_data/tvae/syn_real_train_tvae_2.csv",0.0655737704918033,0.0641321567572171,-0.0456623946846736
"tvae",5,"IST-3 Data/Data/train_data/tvae/syn_real_train_tvae_3.csv",0.0561797752808989,0.0641321567572171,-0.0456623946846736
"tvae",5,"IST-3 Data/Data/train_data/tvae/syn_real_train_tvae_4.csv",0.0670391061452514,0.0641321567572171,-0.0456623946846736
"tvae",5,"IST-3 Data/Data/train_data/tvae/syn_real_train_tvae_5.csv",0.0659340659340659,0.0641321567572171,-0.0456623946846736
"tabsyn",5,"IST-3 Data/Data/train_data/tabsyn/syn_real_train_tabsyn_1.csv",0.0940438871473354,0.0940438871473354,-0.0122414668744856
"tabsyn",5,"IST-3 Data/Data/train_data/tabsyn/syn_real_train_tabsyn_2.csv",0.0940438871473354,0.0940438871473354,-0.0122414668744856
"tabsyn",5,"IST-3 Data/Data/train_data/tabsyn/syn_real_train_tabsyn_3.csv",0.0940438871473354,0.0940438871473354,-0.0122414668744856
"tabsyn",5,"IST-3 Data/Data/train_data/tabsyn/syn_real_train_tabsyn_4.csv",0.0940438871473354,0.0940438871473354,-0.0122414668744856
"tabsyn",5,"IST-3 Data/Data/train_data/tabsyn/syn_real_train_tabsyn_5.csv",0.0940438871473354,0.0940438871473354,-0.0122414668744856
