"Method","M","Accuracy","R2","RMSE","MAE"
"synthpop",5,0.749588138385502,NA,NA,NA
"synthpop",5,0.754530477759473,NA,NA,NA
"synthpop",5,0.734761120263591,NA,NA,NA
"synthpop",5,0.757825370675453,NA,NA,NA
"synthpop",5,0.738056013179572,NA,NA,NA
"synthpop",10,0.752883031301483,NA,NA,NA
"synthpop",10,0.738056013179572,NA,NA,NA
"synthpop",10,0.749588138385502,NA,NA,NA
"synthpop",10,0.739703459637562,NA,NA,NA
"synthpop",10,0.756177924217463,NA,NA,NA
"synthpop",10,0.739703459637562,NA,NA,NA
"synthpop",10,0.749588138385502,NA,NA,NA
"synthpop",10,0.731466227347611,NA,NA,NA
"synthpop",10,0.749588138385502,NA,NA,NA
"synthpop",10,0.738056013179572,NA,NA,NA
"synthpop",50,0.749588138385502,NA,NA,NA
"synthpop",50,0.749588138385502,NA,NA,NA
"synthpop",50,0.751235584843493,NA,NA,NA
"synthpop",50,0.762767710049423,NA,NA,NA
"synthpop",50,0.746293245469522,NA,NA,NA
"synthpop",50,0.744645799011532,NA,NA,NA
"synthpop",50,0.767710049423394,NA,NA,NA
"synthpop",50,0.747940691927512,NA,NA,NA
"synthpop",50,0.752883031301483,NA,NA,NA
"synthpop",50,0.767710049423394,NA,NA,NA
"synthpop",50,0.747940691927512,NA,NA,NA
"synthpop",50,0.757825370675453,NA,NA,NA
"synthpop",50,0.754530477759473,NA,NA,NA
"synthpop",50,0.724876441515651,NA,NA,NA
"synthpop",50,0.749588138385502,NA,NA,NA
"synthpop",50,0.739703459637562,NA,NA,NA
"synthpop",50,0.728171334431631,NA,NA,NA
"synthpop",50,0.741350906095552,NA,NA,NA
"synthpop",50,0.736408566721582,NA,NA,NA
"synthpop",50,0.724876441515651,NA,NA,NA
"synthpop",50,0.738056013179572,NA,NA,NA
"synthpop",50,0.747940691927512,NA,NA,NA
"synthpop",50,0.734761120263591,NA,NA,NA
"synthpop",50,0.741350906095552,NA,NA,NA
"synthpop",50,0.703459637561779,NA,NA,NA
"synthpop",50,0.741350906095552,NA,NA,NA
"synthpop",50,0.757825370675453,NA,NA,NA
"synthpop",50,0.752883031301483,NA,NA,NA
"synthpop",50,0.759472817133443,NA,NA,NA
"synthpop",50,0.723228995057661,NA,NA,NA
"synthpop",50,0.746293245469522,NA,NA,NA
"synthpop",50,0.751235584843493,NA,NA,NA
"synthpop",50,0.742998352553542,NA,NA,NA
"synthpop",50,0.751235584843493,NA,NA,NA
"synthpop",50,0.731466227347611,NA,NA,NA
"synthpop",50,0.751235584843493,NA,NA,NA
"synthpop",50,0.744645799011532,NA,NA,NA
"synthpop",50,0.747940691927512,NA,NA,NA
"synthpop",50,0.729818780889621,NA,NA,NA
"synthpop",50,0.744645799011532,NA,NA,NA
"synthpop",50,0.751235584843493,NA,NA,NA
"synthpop",50,0.754530477759473,NA,NA,NA
"synthpop",50,0.761120263591433,NA,NA,NA
"synthpop",50,0.741350906095552,NA,NA,NA
"synthpop",50,0.742998352553542,NA,NA,NA
"synthpop",50,0.744645799011532,NA,NA,NA
"synthpop",50,0.746293245469522,NA,NA,NA
"synthpop",50,0.736408566721582,NA,NA,NA
"synthpop",50,0.749588138385502,NA,NA,NA
"synthpop",50,0.733113673805601,NA,NA,NA
"arf",5,0.738056013179572,NA,NA,NA
"arf",5,0.756177924217463,NA,NA,NA
"arf",5,0.767710049423394,NA,NA,NA
"arf",5,0.734761120263591,NA,NA,NA
"arf",5,0.754530477759473,NA,NA,NA
"arf",10,0.741350906095552,NA,NA,NA
"arf",10,0.749588138385502,NA,NA,NA
"arf",10,0.762767710049423,NA,NA,NA
"arf",10,0.764415156507414,NA,NA,NA
"arf",10,0.733113673805601,NA,NA,NA
"arf",10,0.749588138385502,NA,NA,NA
"arf",10,0.746293245469522,NA,NA,NA
"arf",10,0.752883031301483,NA,NA,NA
"arf",10,0.739703459637562,NA,NA,NA
"arf",10,0.761120263591433,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.752883031301483,NA,NA,NA
"arf",50,0.752883031301483,NA,NA,NA
"arf",50,0.766062602965404,NA,NA,NA
"arf",50,0.728171334431631,NA,NA,NA
"arf",50,0.738056013179572,NA,NA,NA
"arf",50,0.754530477759473,NA,NA,NA
"arf",50,0.754530477759473,NA,NA,NA
"arf",50,0.764415156507414,NA,NA,NA
"arf",50,0.749588138385502,NA,NA,NA
"arf",50,0.749588138385502,NA,NA,NA
"arf",50,0.756177924217463,NA,NA,NA
"arf",50,0.751235584843493,NA,NA,NA
"arf",50,0.747940691927512,NA,NA,NA
"arf",50,0.747940691927512,NA,NA,NA
"arf",50,0.751235584843493,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.754530477759473,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.744645799011532,NA,NA,NA
"arf",50,0.761120263591433,NA,NA,NA
"arf",50,0.764415156507414,NA,NA,NA
"arf",50,0.764415156507414,NA,NA,NA
"arf",50,0.733113673805601,NA,NA,NA
"arf",50,0.751235584843493,NA,NA,NA
"arf",50,0.741350906095552,NA,NA,NA
"arf",50,0.754530477759473,NA,NA,NA
"arf",50,0.757825370675453,NA,NA,NA
"arf",50,0.756177924217463,NA,NA,NA
"arf",50,0.752883031301483,NA,NA,NA
"arf",50,0.756177924217463,NA,NA,NA
"arf",50,0.752883031301483,NA,NA,NA
"arf",50,0.739703459637562,NA,NA,NA
"arf",50,0.736408566721582,NA,NA,NA
"arf",50,0.751235584843493,NA,NA,NA
"arf",50,0.744645799011532,NA,NA,NA
"arf",50,0.749588138385502,NA,NA,NA
"arf",50,0.71169686985173,NA,NA,NA
"arf",50,0.759472817133443,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.726523887973641,NA,NA,NA
"arf",50,0.744645799011532,NA,NA,NA
"arf",50,0.767710049423394,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.757825370675453,NA,NA,NA
"arf",50,0.752883031301483,NA,NA,NA
"arf",50,0.746293245469522,NA,NA,NA
"arf",50,0.751235584843493,NA,NA,NA
"arf",50,0.761120263591433,NA,NA,NA
"privbayes",5,0.499176276771005,NA,NA,NA
"privbayes",5,0.561779242174629,NA,NA,NA
"privbayes",5,0.500823723228995,NA,NA,NA
"privbayes",5,0.522240527182867,NA,NA,NA
"privbayes",5,0.510708401976936,NA,NA,NA
"privbayes",10,0.495881383855025,NA,NA,NA
"privbayes",10,0.509060955518946,NA,NA,NA
"privbayes",10,0.57825370675453,NA,NA,NA
"privbayes",10,0.509060955518946,NA,NA,NA
"privbayes",10,0.532125205930807,NA,NA,NA
"privbayes",10,0.515650741350906,NA,NA,NA
"privbayes",10,0.502471169686985,NA,NA,NA
"privbayes",10,0.476112026359143,NA,NA,NA
"privbayes",10,0.499176276771005,NA,NA,NA
"privbayes",10,0.481054365733114,NA,NA,NA
"privbayes",50,0.497528830313015,NA,NA,NA
"privbayes",50,0.512355848434926,NA,NA,NA
"privbayes",50,0.57001647446458,NA,NA,NA
"privbayes",50,0.528830313014827,NA,NA,NA
"privbayes",50,0.540362438220758,NA,NA,NA
"privbayes",50,0.553542009884679,NA,NA,NA
"privbayes",50,0.56836902800659,NA,NA,NA
"privbayes",50,0.545304777594728,NA,NA,NA
"privbayes",50,0.535420098846787,NA,NA,NA
"privbayes",50,0.525535420098847,NA,NA,NA
"privbayes",50,0.518945634266886,NA,NA,NA
"privbayes",50,0.57825370675453,NA,NA,NA
"privbayes",50,0.584843492586491,NA,NA,NA
"privbayes",50,0.476112026359143,NA,NA,NA
"privbayes",50,0.514003294892916,NA,NA,NA
"privbayes",50,0.507413509060956,NA,NA,NA
"privbayes",50,0.540362438220758,NA,NA,NA
"privbayes",50,0.462932454695222,NA,NA,NA
"privbayes",50,0.525535420098847,NA,NA,NA
"privbayes",50,0.546952224052718,NA,NA,NA
"privbayes",50,0.474464579901153,NA,NA,NA
"privbayes",50,0.535420098846787,NA,NA,NA
"privbayes",50,0.515650741350906,NA,NA,NA
"privbayes",50,0.553542009884679,NA,NA,NA
"privbayes",50,0.520593080724876,NA,NA,NA
"privbayes",50,0.528830313014827,NA,NA,NA
"privbayes",50,0.500823723228995,NA,NA,NA
"privbayes",50,0.515650741350906,NA,NA,NA
"privbayes",50,0.540362438220758,NA,NA,NA
"privbayes",50,0.479406919275124,NA,NA,NA
"privbayes",50,0.520593080724876,NA,NA,NA
"privbayes",50,0.451400329489292,NA,NA,NA
"privbayes",50,0.537067545304778,NA,NA,NA
"privbayes",50,0.535420098846787,NA,NA,NA
"privbayes",50,0.518945634266886,NA,NA,NA
"privbayes",50,0.485996705107084,NA,NA,NA
"privbayes",50,0.540362438220758,NA,NA,NA
"privbayes",50,0.42998352553542,NA,NA,NA
"privbayes",50,0.476112026359143,NA,NA,NA
"privbayes",50,0.472817133443163,NA,NA,NA
"privbayes",50,0.518945634266886,NA,NA,NA
"privbayes",50,0.540362438220758,NA,NA,NA
"privbayes",50,0.487644151565074,NA,NA,NA
"privbayes",50,0.626029654036244,NA,NA,NA
