"Method","M","C2ST_Accuracy","AUC","P_Value","Classifier"
"synthpop",5,0.78052805280528,0.538280650932947,3.58951038345371e-46,"KNN"
"synthpop",5,0.8003300330033,0.495288404191872,3.79834588374224e-53,"KNN"
"synthpop",5,0.782178217821782,0.512422254409133,9.93840666927963e-47,"KNN"
"synthpop",5,0.760726072607261,0.558490244525858,8.46921985463035e-40,"KNN"
"synthpop",5,0.762376237623762,0.539217858055721,2.62339900888468e-40,"KNN"
"synthpop",5,0.8003300330033,0.554213172020107,3.79834588374224e-53,"RF"
"synthpop",5,0.798679867986799,0.541288233790577,1.53079042956092e-52,"RF"
"synthpop",5,0.8003300330033,0.548070205333561,3.79834588374224e-53,"RF"
"synthpop",5,0.803630363036304,0.554579534804465,2.26707412390947e-54,"RF"
"synthpop",5,0.8003300330033,0.554000170401295,3.79834588374224e-53,"RF"
"synthpop",5,0.8003300330033,0.542523643179688,3.79834588374224e-53,"NN"
"synthpop",5,0.8003300330033,0.575411093124308,3.79834588374224e-53,"NN"
"synthpop",5,0.8003300330033,0.522535571270342,3.79834588374224e-53,"NN"
"synthpop",5,0.8003300330033,0.496276731703161,3.79834588374224e-53,"NN"
"synthpop",5,0.8003300330033,0.531447559001448,3.79834588374224e-53,"NN"
"synthpop",10,0.78052805280528,0.538280650932947,3.58951038345371e-46,"KNN"
"synthpop",10,0.793729372937294,0.504396353412286,9.42411931946676e-51,"KNN"
"synthpop",10,0.8003300330033,0.495288404191872,3.79834588374224e-53,"KNN"
"synthpop",10,0.782178217821782,0.512422254409133,9.93840666927963e-47,"KNN"
"synthpop",10,0.760726072607261,0.558490244525858,8.46921985463035e-40,"KNN"
"synthpop",10,0.762376237623762,0.539217858055721,2.62339900888468e-40,"KNN"
"synthpop",10,0.777227722772277,0.567069949731618,4.54939486900038e-45,"KNN"
"synthpop",10,0.778877887788779,0.55083922637812,1.28402430573875e-45,"KNN"
"synthpop",10,0.764026402640264,0.556939592740905,8.05260344117007e-41,"KNN"
"synthpop",10,0.798679867986799,0.551171508903468,1.53079042956092e-52,"KNN"
"synthpop",10,0.8003300330033,0.554213172020107,3.79834588374224e-53,"RF"
"synthpop",10,0.8003300330033,0.554068330919315,3.79834588374224e-53,"RF"
"synthpop",10,0.798679867986799,0.541288233790577,1.53079042956092e-52,"RF"
"synthpop",10,0.8003300330033,0.548070205333561,3.79834588374224e-53,"RF"
"synthpop",10,0.803630363036304,0.554579534804465,2.26707412390947e-54,"RF"
"synthpop",10,0.8003300330033,0.554000170401295,3.79834588374224e-53,"RF"
"synthpop",10,0.798679867986799,0.574030842634404,1.53079042956092e-52,"RF"
"synthpop",10,0.798679867986799,0.579543324529266,1.53079042956092e-52,"RF"
"synthpop",10,0.8003300330033,0.510914202947942,3.79834588374224e-53,"RF"
"synthpop",10,0.795379537953795,0.566107182414586,2.41108014162427e-51,"RF"
"synthpop",10,0.8003300330033,0.542523643179688,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.493686632018403,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.575411093124308,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.522535571270342,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.496276731703161,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.531447559001448,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.520848598449348,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.517832495526966,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.541535315668399,3.79834588374224e-53,"NN"
"synthpop",10,0.8003300330033,0.520294794240436,3.79834588374224e-53,"NN"
"synthpop",50,0.78052805280528,0.538280650932947,3.58951038345371e-46,"KNN"
"synthpop",50,0.793729372937294,0.504396353412286,9.42411931946676e-51,"KNN"
"synthpop",50,0.783828382838284,0.566942148760331,2.72517714125023e-47,"KNN"
"synthpop",50,0.770627062706271,0.560552100195961,6.52141023520814e-43,"KNN"
"synthpop",50,0.788778877887789,0.554673255516742,5.29870541193953e-49,"KNN"
"synthpop",50,0.777227722772277,0.582414586350856,4.54939486900038e-45,"KNN"
"synthpop",50,0.788778877887789,0.570648376927665,5.29870541193953e-49,"KNN"
"synthpop",50,0.772277227722772,0.564224248104286,1.91148640780652e-43,"KNN"
"synthpop",50,0.792079207920792,0.534795944449178,3.64663983892278e-50,"KNN"
"synthpop",50,0.782178217821782,0.545386384936526,9.93840666927963e-47,"KNN"
"synthpop",50,0.777227722772277,0.547490840930391,4.54939486900038e-45,"KNN"
"synthpop",50,0.8003300330033,0.495288404191872,3.79834588374224e-53,"KNN"
"synthpop",50,0.792079207920792,0.531447559001448,3.64663983892278e-50,"KNN"
"synthpop",50,0.782178217821782,0.593780352730681,9.93840666927963e-47,"KNN"
"synthpop",50,0.785478547854785,0.565732299565477,7.40023636687607e-48,"KNN"
"synthpop",50,0.793729372937294,0.552492118940104,9.42411931946676e-51,"KNN"
"synthpop",50,0.783828382838284,0.546127630569992,2.72517714125023e-47,"KNN"
"synthpop",50,0.768976897689769,0.572556871432223,2.20425926181142e-42,"KNN"
"synthpop",50,0.795379537953795,0.579534804464514,2.41108014162427e-51,"KNN"
"synthpop",50,0.772277227722772,0.554579534804465,1.91148640780652e-43,"KNN"
"synthpop",50,0.78052805280528,0.57258243162648,3.58951038345371e-46,"KNN"
"synthpop",50,0.79042904290429,0.530621112720457,1.39699225631726e-49,"KNN"
"synthpop",50,0.782178217821782,0.512422254409133,9.93840666927963e-47,"KNN"
"synthpop",50,0.78052805280528,0.553148163926046,3.58951038345371e-46,"KNN"
"synthpop",50,0.787128712871287,0.553821249041493,1.98996476114942e-48,"KNN"
"synthpop",50,0.752475247524752,0.521888046349152,2.59515165433945e-37,"KNN"
"synthpop",50,0.792079207920792,0.547891283973758,3.64663983892278e-50,"KNN"
"synthpop",50,0.79042904290429,0.526889324358865,1.39699225631726e-49,"KNN"
"synthpop",50,0.788778877887789,0.546366192383062,5.29870541193953e-49,"KNN"
"synthpop",50,0.78052805280528,0.521172360909943,3.58951038345371e-46,"KNN"
"synthpop",50,0.785478547854785,0.532393286188975,7.40023636687607e-48,"KNN"
"synthpop",50,0.782178217821782,0.523856181306978,9.93840666927963e-47,"KNN"
"synthpop",50,0.775577557755776,0.562903638067649,1.59660978753667e-44,"KNN"
"synthpop",50,0.760726072607261,0.558490244525858,8.46921985463035e-40,"KNN"
"synthpop",50,0.778877887788779,0.564761012183693,1.28402430573875e-45,"KNN"
"synthpop",50,0.778877887788779,0.506816051801994,1.28402430573875e-45,"KNN"
"synthpop",50,0.785478547854785,0.530203629547585,7.40023636687607e-48,"KNN"
"synthpop",50,0.767326732673267,0.561932350685865,7.38168224239502e-42,"KNN"
"synthpop",50,0.775577557755776,0.535750191701457,1.59660978753667e-44,"KNN"
"synthpop",50,0.768976897689769,0.546613274260884,2.20425926181142e-42,"KNN"
"synthpop",50,0.78052805280528,0.552338757774559,3.58951038345371e-46,"KNN"
"synthpop",50,0.795379537953795,0.551154468773963,2.41108014162427e-51,"KNN"
"synthpop",50,0.755775577557756,0.541637556445429,2.69945658004747e-38,"KNN"
"synthpop",50,0.765676567656766,0.55682031183437,2.44928815966648e-41,"KNN"
"synthpop",50,0.762376237623762,0.539217858055721,2.62339900888468e-40,"KNN"
"synthpop",50,0.775577557755776,0.51063304081111,1.59660978753667e-44,"KNN"
"synthpop",50,0.777227722772277,0.567069949731618,4.54939486900038e-45,"KNN"
"synthpop",50,0.778877887788779,0.55083922637812,1.28402430573875e-45,"KNN"
"synthpop",50,0.764026402640264,0.556939592740905,8.05260344117007e-41,"KNN"
"synthpop",50,0.798679867986799,0.551171508903468,1.53079042956092e-52,"KNN"
