"Method","M","Classifier","Mean_C2ST_Accuracy","Mean_AUC"
"arf",5,"KNN",0.794,0.53
"arf",5,"NN",0.8,0.502
"arf",5,"RF",0.801,0.723
"arf",10,"KNN",0.789,0.535
"arf",10,"NN",0.8,0.504
"arf",10,"RF",0.801,0.729
"arf",50,"KNN",0.78,0.536
"arf",50,"NN",0.8,0.509
"arf",50,"RF",0.801,0.728
"ctgan",5,"KNN",0.811,0.769
"ctgan",5,"NN",0.812,0.748
"ctgan",5,"RF",0.853,0.904
"ctgan",10,"KNN",0.81,0.756
"ctgan",10,"NN",0.814,0.743
"ctgan",10,"RF",0.852,0.907
"ctgan",50,"KNN",0.814,0.763
"ctgan",50,"NN",0.817,0.75
"ctgan",50,"RF",0.856,0.91
"privbayes",5,"KNN",0.78,0.704
"privbayes",5,"NN",0.792,0.741
"privbayes",5,"RF",0.798,0.696
"privbayes",10,"KNN",0.782,0.707
"privbayes",10,"NN",0.793,0.743
"privbayes",10,"RF",0.798,0.701
"privbayes",50,"KNN",0.786,0.71
"privbayes",50,"NN",0.792,0.745
"privbayes",50,"RF",0.798,0.703
"synthpop",5,"KNN",0.777,0.529
"synthpop",5,"NN",0.8,0.534
"synthpop",5,"RF",0.801,0.55
"synthpop",10,"KNN",0.78,0.537
"synthpop",10,"NN",0.8,0.526
"synthpop",10,"RF",0.8,0.554
"synthpop",50,"KNN",0.78,0.547
"synthpop",50,"NN",0.8,0.519
"synthpop",50,"RF",0.799,0.556
"tabsyn",5,"KNN",0.784,0.529
"tabsyn",5,"NN",0.8,0.516
"tabsyn",5,"RF",0.801,0.605
"tabsyn",10,"KNN",0.784,0.529
"tabsyn",10,"NN",0.8,0.51
"tabsyn",10,"RF",0.801,0.609
"tabsyn",50,"KNN",0.786,0.526
"tabsyn",50,"NN",0.8,0.516
"tabsyn",50,"RF",0.801,0.606
"tvae",5,"KNN",0.802,0.67
"tvae",5,"NN",0.807,0.593
"tvae",5,"RF",0.844,0.905
"tvae",10,"KNN",0.802,0.664
"tvae",10,"NN",0.808,0.588
"tvae",10,"RF",0.847,0.906
"tvae",50,"KNN",0.802,0.666
"tvae",50,"NN",0.805,0.597
"tvae",50,"RF",0.85,0.905
