"Method","M","Mean_NNDR_Synth","Mean_NNDR_Holdout","NNDR_Diff"
"arf",5,0.723,0.684,0.039
"arf",10,0.725,0.684,0.041
"arf",50,0.726,0.684,0.042
"ctgan",5,0.708,0.684,0.024
"ctgan",10,0.707,0.684,0.023
"ctgan",50,0.706,0.684,0.022
"privbayes",5,0.72,0.684,0.036
"privbayes",10,0.718,0.684,0.034
"privbayes",50,0.72,0.684,0.036
"synthpop",5,0.715,0.684,0.031
"synthpop",10,0.715,0.684,0.031
"synthpop",50,0.715,0.684,0.031
"tabsyn",5,0.731,0.684,0.047
"tabsyn",10,0.728,0.684,0.044
"tabsyn",50,0.727,0.684,0.043
"tvae",5,0.721,0.684,0.037
"tvae",10,0.718,0.684,0.034
"tvae",50,0.718,0.684,0.034
