method,dataset_index,metric,value
synthpop,1,alpha_precision,0.9902572523262179
synthpop,1,beta_recall,0.31467051467051455
synthpop,1,authenticity,0.70995670995671
synthpop,2,alpha_precision,0.9841667910633428
synthpop,2,beta_recall,0.32311207311207313
synthpop,2,authenticity,0.6962481962481962
synthpop,3,alpha_precision,0.981065996583238
synthpop,3,beta_recall,0.31185666185666194
synthpop,3,authenticity,0.6984126984126984
synthpop,4,alpha_precision,0.9893275945000083
synthpop,4,beta_recall,0.31945646945646944
synthpop,4,authenticity,0.6991341991341992
synthpop,5,alpha_precision,0.9824907531804083
synthpop,5,beta_recall,0.3232082732082733
synthpop,5,authenticity,0.6854256854256854
arf,1,alpha_precision,0.9475991441508683
arf,1,beta_recall,0.2172919672919672
arf,1,authenticity,0.7842712842712842
arf,2,alpha_precision,0.9513351909903635
arf,2,beta_recall,0.22443482443482465
arf,2,authenticity,0.7954545454545454
arf,3,alpha_precision,0.9632880529432254
arf,3,beta_recall,0.22979797979797978
arf,3,authenticity,0.7723665223665224
arf,4,alpha_precision,0.9717934683451925
arf,4,beta_recall,0.21899951899951897
arf,4,authenticity,0.7781385281385281
arf,5,alpha_precision,0.9696015989119438
arf,5,beta_recall,0.21659451659451656
arf,5,authenticity,0.7846320346320347
privbayes,1,alpha_precision,0.7245310245310246
privbayes,1,beta_recall,0.1539923039923039
privbayes,1,authenticity,0.8376623376623377
privbayes,2,alpha_precision,0.7178210678210677
privbayes,2,beta_recall,0.16048581048581034
privbayes,2,authenticity,0.838023088023088
privbayes,3,alpha_precision,0.7313131313131314
privbayes,3,beta_recall,0.1544492544492544
privbayes,3,authenticity,0.8459595959595959
privbayes,4,alpha_precision,0.7138047138047139
privbayes,4,beta_recall,0.1505291005291005
privbayes,4,authenticity,0.816017316017316
privbayes,5,alpha_precision,0.737999037999038
privbayes,5,beta_recall,0.1527176527176528
privbayes,5,authenticity,0.8448773448773449
ctgan,1,alpha_precision,0.9326458343699723
ctgan,1,beta_recall,0.1987012987012987
ctgan,1,authenticity,0.786075036075036
ctgan,2,alpha_precision,0.9569537741951535
ctgan,2,beta_recall,0.19102934102934122
ctgan,2,authenticity,0.8326118326118326
ctgan,3,alpha_precision,0.9482227861538206
ctgan,3,beta_recall,0.1925685425685424
ctgan,3,authenticity,0.8170995670995671
ctgan,4,alpha_precision,0.9349737108357798
ctgan,4,beta_recall,0.19446849446849457
ctgan,4,authenticity,0.8037518037518038
ctgan,5,alpha_precision,0.9374757426481565
ctgan,5,beta_recall,0.20591630591630583
ctgan,5,authenticity,0.8275613275613276
tvae,1,alpha_precision,0.8804232804232804
tvae,1,beta_recall,0.16267436267436253
tvae,1,authenticity,0.8322510822510822
tvae,2,alpha_precision,0.9024050024050024
tvae,2,beta_recall,0.16402116402116418
tvae,2,authenticity,0.8311688311688312
tvae,3,alpha_precision,0.8914862914862915
tvae,3,beta_recall,0.1712361712361712
tvae,3,authenticity,0.8272005772005772
tvae,4,alpha_precision,0.9007936507936508
tvae,4,beta_recall,0.16580086580086584
tvae,4,authenticity,0.8412698412698413
tvae,5,alpha_precision,0.8988455988455988
tvae,5,beta_recall,0.16738816738816753
tvae,5,authenticity,0.8225108225108225
tabsyn,1,alpha_precision,0.9819931664759252
tabsyn,1,beta_recall,0.23874458874458881
tabsyn,1,authenticity,0.7813852813852814
tabsyn,2,alpha_precision,0.9814026969199383
tabsyn,2,beta_recall,0.24644059644059635
tabsyn,2,authenticity,0.7546897546897547
tabsyn,3,alpha_precision,0.9817203230996334
tabsyn,3,beta_recall,0.226936026936027
tabsyn,3,authenticity,0.7799422799422799
tabsyn,4,alpha_precision,0.9800136007032559
tabsyn,4,beta_recall,0.23023088023088034
tabsyn,4,authenticity,0.7745310245310245
tabsyn,5,alpha_precision,0.9780531090875919
tabsyn,5,beta_recall,0.23451178451178456
tabsyn,5,authenticity,0.7756132756132756
