"Method","m","File","F1_Score","Mean_F1_Score","M"
"synthpop",5,"Medical Insurance Cost Data/Data/train_data/synthpop/syn_real_train_synthpop_1.csv",0.10989010989011,0.122110074965496,0.0191174021960845
"synthpop",5,"Medical Insurance Cost Data/Data/train_data/synthpop/syn_real_train_synthpop_2.csv",0.114583333333333,0.122110074965496,0.0191174021960845
"synthpop",5,"Medical Insurance Cost Data/Data/train_data/synthpop/syn_real_train_synthpop_3.csv",0.129032258064516,0.122110074965496,0.0191174021960845
"synthpop",5,"Medical Insurance Cost Data/Data/train_data/synthpop/syn_real_train_synthpop_4.csv",0.133333333333333,0.122110074965496,0.0191174021960845
"synthpop",5,"Medical Insurance Cost Data/Data/train_data/synthpop/syn_real_train_synthpop_5.csv",0.123711340206186,0.122110074965496,0.0191174021960845
"arf",5,"Medical Insurance Cost Data/Data/train_data/arf/syn_real_train_arf_1.csv",0.0833333333333333,0.105479452783602,0.000535701434192048
"arf",5,"Medical Insurance Cost Data/Data/train_data/arf/syn_real_train_arf_2.csv",0.0985221674876847,0.105479452783602,0.000535701434192048
"arf",5,"Medical Insurance Cost Data/Data/train_data/arf/syn_real_train_arf_3.csv",0.122448979591837,0.105479452783602,0.000535701434192048
"arf",5,"Medical Insurance Cost Data/Data/train_data/arf/syn_real_train_arf_4.csv",0.12,0.105479452783602,0.000535701434192048
"arf",5,"Medical Insurance Cost Data/Data/train_data/arf/syn_real_train_arf_5.csv",0.103092783505155,0.105479452783602,0.000535701434192048
"privbayes",5,"Medical Insurance Cost Data/Data/train_data/privbayes/syn_real_train_privbayes_1.csv",0.126760563380282,0.0996020039134291,-0.00603128054365467
"privbayes",5,"Medical Insurance Cost Data/Data/train_data/privbayes/syn_real_train_privbayes_2.csv",0.0869565217391304,0.0996020039134291,-0.00603128054365467
"privbayes",5,"Medical Insurance Cost Data/Data/train_data/privbayes/syn_real_train_privbayes_3.csv",0.102564102564103,0.0996020039134291,-0.00603128054365467
"privbayes",5,"Medical Insurance Cost Data/Data/train_data/privbayes/syn_real_train_privbayes_4.csv",0.0902255639097744,0.0996020039134291,-0.00603128054365467
"privbayes",5,"Medical Insurance Cost Data/Data/train_data/privbayes/syn_real_train_privbayes_5.csv",0.0915032679738562,0.0996020039134291,-0.00603128054365467
"ctgan",5,"Medical Insurance Cost Data/Data/train_data/ctgan/syn_real_train_ctgan_1.csv",0.161616161616162,0.137004017004017,0.0357586782167788
"ctgan",5,"Medical Insurance Cost Data/Data/train_data/ctgan/syn_real_train_ctgan_2.csv",0.108108108108108,0.137004017004017,0.0357586782167788
"ctgan",5,"Medical Insurance Cost Data/Data/train_data/ctgan/syn_real_train_ctgan_3.csv",0.101010101010101,0.137004017004017,0.0357586782167788
"ctgan",5,"Medical Insurance Cost Data/Data/train_data/ctgan/syn_real_train_ctgan_4.csv",0.142857142857143,0.137004017004017,0.0357586782167788
"ctgan",5,"Medical Insurance Cost Data/Data/train_data/ctgan/syn_real_train_ctgan_5.csv",0.171428571428571,0.137004017004017,0.0357586782167788
"tvae",5,"Medical Insurance Cost Data/Data/train_data/tvae/syn_real_train_tvae_1.csv",0.117647058823529,0.105667066216265,0.000745325381302017
"tvae",5,"Medical Insurance Cost Data/Data/train_data/tvae/syn_real_train_tvae_2.csv",0.0745341614906832,0.105667066216265,0.000745325381302017
"tvae",5,"Medical Insurance Cost Data/Data/train_data/tvae/syn_real_train_tvae_3.csv",0.131578947368421,0.105667066216265,0.000745325381302017
"tvae",5,"Medical Insurance Cost Data/Data/train_data/tvae/syn_real_train_tvae_4.csv",0.104575163398693,0.105667066216265,0.000745325381302017
"tvae",5,"Medical Insurance Cost Data/Data/train_data/tvae/syn_real_train_tvae_5.csv",0.1,0.105667066216265,0.000745325381302017
"tabsyn",5,"Medical Insurance Cost Data/Data/train_data/tabsyn/syn_real_train_tabsyn_1.csv",0.0962199312714777,0.0962199312714777,-0.00981013265756686
"tabsyn",5,"Medical Insurance Cost Data/Data/train_data/tabsyn/syn_real_train_tabsyn_2.csv",0.0962199312714777,0.0962199312714777,-0.00981013265756686
"tabsyn",5,"Medical Insurance Cost Data/Data/train_data/tabsyn/syn_real_train_tabsyn_3.csv",0.0962199312714777,0.0962199312714777,-0.00981013265756686
"tabsyn",5,"Medical Insurance Cost Data/Data/train_data/tabsyn/syn_real_train_tabsyn_4.csv",0.0962199312714777,0.0962199312714777,-0.00981013265756686
"tabsyn",5,"Medical Insurance Cost Data/Data/train_data/tabsyn/syn_real_train_tabsyn_5.csv",0.0962199312714777,0.0962199312714777,-0.00981013265756686
