"Method","M","R2","RMSE","MAE"
"synthpop",5,0.864597456099738,4315.94315195285,2667.70094134886
"synthpop",5,0.854941408238433,4447.18901816705,2549.81334031627
"synthpop",5,0.852738284660951,4485.85915218262,2660.84581893513
"synthpop",5,0.851434538230598,4502.95026603499,2598.24830347325
"synthpop",5,0.864849466229981,4315.04404280475,2488.13054400506
"synthpop",10,0.865061368419795,4314.05222953787,2678.64502373977
"synthpop",10,0.857028750495692,4412.50632635125,2528.73947041764
"synthpop",10,0.855541455192474,4431.76875838382,2525.00669961334
"synthpop",10,0.852119215642998,4500.08423870788,2674.57532104532
"synthpop",10,0.851444993235992,4503.17135490773,2591.80314212962
"synthpop",10,0.865899872148228,4300.00510494105,2482.56759584174
"synthpop",10,0.851135147485834,4499.15818131054,2641.03246659969
"synthpop",10,0.85844769571533,4391.24525996882,2581.76115774967
"synthpop",10,0.854590517311497,4465.57742564184,2611.84190909197
"synthpop",10,0.858883848774244,4405.25617492236,2714.54806568754
"synthpop",50,0.864107771443565,4324.40811564549,2659.78150947246
"synthpop",50,0.855816278741575,4432.20003290796,2566.62203827439
"synthpop",50,0.862258253554817,4330.13458981842,2512.93897981036
"synthpop",50,0.85541328366312,4450.56221815496,2537.60899319828
"synthpop",50,0.848875396212071,4539.78864901519,2734.54833243328
"synthpop",50,0.861787095801233,4345.03567552574,2538.1610063743
"synthpop",50,0.860195386025951,4371.00026604121,2674.0653768422
"synthpop",50,0.8518206735045,4493.65142305458,2579.45225162049
"synthpop",50,0.861072080669026,4347.59911076592,2543.76014922572
"synthpop",50,0.856154056043551,4437.05929896789,2684.15913447375
"synthpop",50,0.859564477389863,4375.56681980571,2549.43246831505
"synthpop",50,0.85625889839931,4419.61599587907,2505.09914038624
"synthpop",50,0.854836416137423,4442.61856351303,2506.00988966932
"synthpop",50,0.855749267437081,4442.63861767474,2552.01095704284
"synthpop",50,0.853900912112641,4476.5956303275,2634.70935644973
"synthpop",50,0.856550938786288,4432.60312310872,2623.76481483401
"synthpop",50,0.853784022249918,4468.51521669283,2670.47006944592
"synthpop",50,0.855115405911134,4448.05723048845,2595.98417970668
"synthpop",50,0.855407043827738,4447.90601937241,2637.79573688416
"synthpop",50,0.856271269822177,4433.97285628714,2597.39509163495
"synthpop",50,0.857932880563668,4405.87214892172,2507.68405012065
"synthpop",50,0.85189484872901,4495.82395698818,2698.57233401405
"synthpop",50,0.85175391609677,4501.56996138718,2657.09281920573
"synthpop",50,0.845054022103168,4596.79938598601,2761.5819954392
"synthpop",50,0.859941804672692,4366.00505719699,2552.06541822937
"synthpop",50,0.846800990095683,4564.75846303486,2690.48172645443
"synthpop",50,0.860758183054664,4365.17524950585,2554.48356474578
"synthpop",50,0.85665329417866,4424.2048071232,2538.97013228209
"synthpop",50,0.85046214137786,4510.54194872522,2650.97672396408
"synthpop",50,0.862161901186321,4336.04866816386,2474.06401639276
"synthpop",50,0.861310890160638,4361.02462633319,2554.71010104257
"synthpop",50,0.857358432394959,4432.53029790107,2714.18589671695
"synthpop",50,0.857493084231213,4406.1604597308,2473.37297954362
"synthpop",50,0.852629127594272,4482.83631674801,2566.87339607609
"synthpop",50,0.858727097822793,4400.22434714556,2559.31880269117
"synthpop",50,0.84991369416526,4519.3627511408,2644.73012713252
"synthpop",50,0.858332884146678,4401.43096386772,2548.28785004265
"synthpop",50,0.85471984176681,4452.54696796253,2516.71998582736
"synthpop",50,0.856547271353636,4415.27067489477,2499.08451711362
"synthpop",50,0.862745645357411,4327.96793824586,2501.40411214929
"synthpop",50,0.859437978689061,4401.33709764829,2583.47412498214
"synthpop",50,0.85702718734744,4418.95312675684,2608.42385713107
"synthpop",50,0.859033741450989,4404.3660007606,2691.90755140348
"synthpop",50,0.860753650364552,4371.79879663688,2590.09704350364
"synthpop",50,0.866769772410151,4280.75071910152,2462.1685499117
"synthpop",50,0.852456847183435,4487.8298347628,2535.60717989732
"synthpop",50,0.85081561095422,4504.72895367349,2644.7356981317
"synthpop",50,0.860098239894085,4369.31486323386,2569.88340356095
"synthpop",50,0.854990384807036,4455.15630023666,2599.33345077888
"synthpop",50,0.859340586753413,4394.32952299563,2681.9358424309
"arf",5,0.794677764309686,5400.90990874059,3751.95694591457
