"Method","M","DCR_Synth_Train","DCR_Holdout_Train"
"synthpop",5,0.0171768288478853,0.00342076330611709
"synthpop",5,0.0161718381338692,0.00342076330611709
"synthpop",5,0.0163075890389595,0.00342076330611709
"synthpop",5,0.0160664993861939,0.00342076330611709
"synthpop",5,0.0168607870583656,0.00342076330611709
"synthpop",10,0.0171768288478853,0.00342076330611709
"synthpop",10,0.0152932991800274,0.00342076330611709
"synthpop",10,0.0161718381338692,0.00342076330611709
"synthpop",10,0.0163075890389595,0.00342076330611709
"synthpop",10,0.0160664993861939,0.00342076330611709
"synthpop",10,0.0168607870583656,0.00342076330611709
"synthpop",10,0.016336029809044,0.00342076330611709
"synthpop",10,0.0158839750406819,0.00342076330611709
"synthpop",10,0.0162701760493605,0.00342076330611709
"synthpop",10,0.0173856057030946,0.00342076330611709
"synthpop",50,0.0171768288478853,0.00342076330611709
"synthpop",50,0.0152932991800274,0.00342076330611709
"synthpop",50,0.0169593071542004,0.00342076330611709
"synthpop",50,0.0161081887226821,0.00342076330611709
"synthpop",50,0.0158788471060476,0.00342076330611709
"synthpop",50,0.015679125626153,0.00342076330611709
"synthpop",50,0.0168750095106148,0.00342076330611709
"synthpop",50,0.0162485132499597,0.00342076330611709
"synthpop",50,0.0169171027489227,0.00342076330611709
"synthpop",50,0.0160239660467289,0.00342076330611709
"synthpop",50,0.0163277824198381,0.00342076330611709
"synthpop",50,0.0161718381338692,0.00342076330611709
"synthpop",50,0.0160953784890427,0.00342076330611709
"synthpop",50,0.0164197265522345,0.00342076330611709
"synthpop",50,0.0168314672238856,0.00342076330611709
"synthpop",50,0.0165365143166202,0.00342076330611709
"synthpop",50,0.0165377723389449,0.00342076330611709
"synthpop",50,0.0166282199490429,0.00342076330611709
"synthpop",50,0.0172966610416164,0.00342076330611709
"synthpop",50,0.0164056506431648,0.00342076330611709
"synthpop",50,0.0164323254667401,0.00342076330611709
"synthpop",50,0.0168947346712706,0.00342076330611709
"synthpop",50,0.0163075890389595,0.00342076330611709
"synthpop",50,0.0171003703649159,0.00342076330611709
"synthpop",50,0.016627021115313,0.00342076330611709
"synthpop",50,0.016210639454399,0.00342076330611709
"synthpop",50,0.0167632667230745,0.00342076330611709
"synthpop",50,0.0155161171909444,0.00342076330611709
"synthpop",50,0.0167494637078069,0.00342076330611709
"synthpop",50,0.0169779149290271,0.00342076330611709
"synthpop",50,0.0163600787271346,0.00342076330611709
"synthpop",50,0.0175833208990416,0.00342076330611709
"synthpop",50,0.0162962188750846,0.00342076330611709
"synthpop",50,0.0160664993861939,0.00342076330611709
"synthpop",50,0.0158462555714397,0.00342076330611709
"synthpop",50,0.0167871594763584,0.00342076330611709
"synthpop",50,0.0169713093166204,0.00342076330611709
"synthpop",50,0.0162159698422704,0.00342076330611709
"synthpop",50,0.0167100898486979,0.00342076330611709
"synthpop",50,0.0164154246371983,0.00342076330611709
"synthpop",50,0.0165181856347835,0.00342076330611709
"synthpop",50,0.0173071118589291,0.00342076330611709
"synthpop",50,0.0175213086802227,0.00342076330611709
"synthpop",50,0.0159589715416629,0.00342076330611709
"synthpop",50,0.0168607870583656,0.00342076330611709
"synthpop",50,0.0162458402841573,0.00342076330611709
"synthpop",50,0.016336029809044,0.00342076330611709
"synthpop",50,0.0158839750406819,0.00342076330611709
"synthpop",50,0.0162701760493605,0.00342076330611709
"synthpop",50,0.0173856057030946,0.00342076330611709
"arf",5,0.0218716046182539,0.00342076330611709
"arf",5,0.0219857223356279,0.00342076330611709
"arf",5,0.0218942302277986,0.00342076330611709
"arf",5,0.0222653719835203,0.00342076330611709
"arf",5,0.0212682911806242,0.00342076330611709
"arf",10,0.0218716046182539,0.00342076330611709
"arf",10,0.0222168160538477,0.00342076330611709
"arf",10,0.0219857223356279,0.00342076330611709
"arf",10,0.0218942302277986,0.00342076330611709
"arf",10,0.0222653719835203,0.00342076330611709
"arf",10,0.0212682911806242,0.00342076330611709
"arf",10,0.0216871000665126,0.00342076330611709
"arf",10,0.0221020843489105,0.00342076330611709
"arf",10,0.0207083017966269,0.00342076330611709
"arf",10,0.0213642181782709,0.00342076330611709
"arf",50,0.0218716046182539,0.00342076330611709
"arf",50,0.0222168160538477,0.00342076330611709
"arf",50,0.020730879139387,0.00342076330611709
"arf",50,0.0230774675553436,0.00342076330611709
"arf",50,0.0211108248671789,0.00342076330611709
"arf",50,0.0217948755539633,0.00342076330611709
"arf",50,0.0228495512364275,0.00342076330611709
"arf",50,0.021646961909743,0.00342076330611709
"arf",50,0.0227309601026697,0.00342076330611709
"arf",50,0.021461516662922,0.00342076330611709
"arf",50,0.02202680846479,0.00342076330611709
"arf",50,0.0219857223356279,0.00342076330611709
"arf",50,0.0210283537193556,0.00342076330611709
"arf",50,0.0212963107251533,0.00342076330611709
"arf",50,0.0215235449433585,0.00342076330611709
"arf",50,0.0218253373599612,0.00342076330611709
"arf",50,0.0219525445042114,0.00342076330611709
"arf",50,0.022062018218141,0.00342076330611709
"arf",50,0.0217021472832765,0.00342076330611709
"arf",50,0.0225091814273862,0.00342076330611709
"arf",50,0.022387667006613,0.00342076330611709
"arf",50,0.022249751709082,0.00342076330611709
"arf",50,0.0218942302277986,0.00342076330611709
"arf",50,0.0217906980911576,0.00342076330611709
"arf",50,0.0231759692801411,0.00342076330611709
"arf",50,0.0221140168698282,0.00342076330611709
"arf",50,0.0220975998450496,0.00342076330611709
"arf",50,0.0225117865474937,0.00342076330611709
"arf",50,0.0225059175719185,0.00342076330611709
"arf",50,0.0225833711147656,0.00342076330611709
"arf",50,0.0214044601089645,0.00342076330611709
"arf",50,0.0218211649476697,0.00342076330611709
"arf",50,0.02072545679173,0.00342076330611709
"arf",50,0.0222653719835203,0.00342076330611709
"arf",50,0.0214544884308731,0.00342076330611709
"arf",50,0.0214257335014434,0.00342076330611709
"arf",50,0.0205250535903539,0.00342076330611709
"arf",50,0.022028812551307,0.00342076330611709
"arf",50,0.0229703591300366,0.00342076330611709
"arf",50,0.0218609835265971,0.00342076330611709
"arf",50,0.023311253489431,0.00342076330611709
"arf",50,0.021891279816915,0.00342076330611709
"arf",50,0.0226009791689594,0.00342076330611709
"arf",50,0.0210130746668978,0.00342076330611709
"arf",50,0.0212682911806242,0.00342076330611709
"arf",50,0.0219942383458784,0.00342076330611709
"arf",50,0.0216871000665126,0.00342076330611709
"arf",50,0.0221020843489105,0.00342076330611709
"arf",50,0.0207083017966269,0.00342076330611709
"arf",50,0.0213642181782709,0.00342076330611709
"privbayes",5,0.0586255279883976,0.00342076330611709
"privbayes",5,0.0580352611358548,0.00342076330611709
"privbayes",5,0.0585630265510918,0.00342076330611709
"privbayes",5,0.0581276183430456,0.00342076330611709
"privbayes",5,0.0595713762576064,0.00342076330611709
"privbayes",10,0.0586255279883976,0.00342076330611709
"privbayes",10,0.0597837915324868,0.00342076330611709
"privbayes",10,0.0580352611358548,0.00342076330611709
"privbayes",10,0.0585630265510918,0.00342076330611709
"privbayes",10,0.0581276183430456,0.00342076330611709
"privbayes",10,0.0595713762576064,0.00342076330611709
"privbayes",10,0.0609658777460135,0.00342076330611709
"privbayes",10,0.0590451119199385,0.00342076330611709
"privbayes",10,0.0596217154016027,0.00342076330611709
"privbayes",10,0.0569989095290419,0.00342076330611709
"privbayes",50,0.0586255279883976,0.00342076330611709
"privbayes",50,0.0597837915324868,0.00342076330611709
"privbayes",50,0.0579001160466974,0.00342076330611709
"privbayes",50,0.0590303796168479,0.00342076330611709
"privbayes",50,0.0597837133651071,0.00342076330611709
"privbayes",50,0.0573130204590551,0.00342076330611709
"privbayes",50,0.0565615038341447,0.00342076330611709
"privbayes",50,0.058664562321646,0.00342076330611709
"privbayes",50,0.0589037854210502,0.00342076330611709
"privbayes",50,0.057027088346365,0.00342076330611709
"privbayes",50,0.0600282611153993,0.00342076330611709
"privbayes",50,0.0580352611358548,0.00342076330611709
"privbayes",50,0.0584512497062359,0.00342076330611709
"privbayes",50,0.0589646155488304,0.00342076330611709
"privbayes",50,0.0582074851761214,0.00342076330611709
"privbayes",50,0.0579427738147714,0.00342076330611709
"privbayes",50,0.0593799534283361,0.00342076330611709
"privbayes",50,0.0586993314517566,0.00342076330611709
"privbayes",50,0.0599960522855761,0.00342076330611709
"privbayes",50,0.0590938890460135,0.00342076330611709
"privbayes",50,0.0586651306819263,0.00342076330611709
"privbayes",50,0.0581895257823003,0.00342076330611709
"privbayes",50,0.0585630265510918,0.00342076330611709
