"Method","M","C2ST_Accuracy","AUC","P_Value","Classifier"
"synthpop",5,0.79746835443038,0.509686025035912,1.00514857289592e-47,"KNN"
"synthpop",5,0.772151898734177,0.521865380668992,8.77768709377357e-40,"KNN"
"synthpop",5,0.788426763110307,0.516827416375949,8.77832619975931e-45,"KNN"
"synthpop",5,0.793851717902351,0.506895136466243,1.55979744793666e-46,"KNN"
"synthpop",5,0.788426763110307,0.51804843012518,8.77832619975931e-45,"KNN"
"synthpop",5,0.815551537070524,0.649538272111636,5.63256958791629e-54,"RF"
"synthpop",5,0.822784810126582,0.600554073466037,1.27601352856993e-56,"RF"
"synthpop",5,0.826401446654611,0.62349681920788,5.63938910392889e-58,"RF"
"synthpop",5,0.810126582278481,0.634998973938026,4.77873840570446e-52,"RF"
"synthpop",5,0.817359855334539,0.599322799097065,1.25151672075395e-54,"RF"
"synthpop",5,0.801084990958409,0.508034065257542,6.1935368641218e-49,"NN"
"synthpop",5,0.801084990958409,0.545998358300841,6.1935368641218e-49,"NN"
"synthpop",5,0.801084990958409,0.545854709624461,6.1935368641218e-49,"NN"
"synthpop",5,0.801084990958409,0.534342294274574,6.1935368641218e-49,"NN"
"synthpop",5,0.801084990958409,0.552349681920788,6.1935368641218e-49,"NN"
"synthpop",10,0.79746835443038,0.509686025035912,1.00514857289592e-47,"KNN"
"synthpop",10,0.799276672694394,0.51210753129489,2.50918519674206e-48,"KNN"
"synthpop",10,0.772151898734177,0.521865380668992,8.77768709377357e-40,"KNN"
"synthpop",10,0.788426763110307,0.516827416375949,8.77832619975931e-45,"KNN"
"synthpop",10,0.793851717902351,0.506895136466243,1.55979744793666e-46,"KNN"
"synthpop",10,0.788426763110307,0.51804843012518,8.77832619975931e-45,"KNN"
"synthpop",10,0.788426763110307,0.534414118612764,8.77832619975931e-45,"KNN"
"synthpop",10,0.788426763110307,0.520510978863123,8.77832619975931e-45,"KNN"
"synthpop",10,0.763110307414105,0.529632669813257,3.6630366590815e-37,"KNN"
"synthpop",10,0.792043399638336,0.510168274163759,6.0432858558338e-46,"KNN"
"synthpop",10,0.815551537070524,0.649538272111636,5.63256958791629e-54,"RF"
"synthpop",10,0.824593128390597,0.584906628360353,2.69937401581659e-57,"RF"
"synthpop",10,0.822784810126582,0.600554073466037,1.27601352856993e-56,"RF"
"synthpop",10,0.826401446654611,0.62349681920788,5.63938910392889e-58,"RF"
"synthpop",10,0.810126582278481,0.634998973938026,4.77873840570446e-52,"RF"
"synthpop",10,0.817359855334539,0.599322799097065,1.25151672075395e-54,"RF"
"synthpop",10,0.815551537070524,0.62979683972912,5.63256958791629e-54,"RF"
"synthpop",10,0.810126582278481,0.613174635747999,4.77873840570446e-52,"RF"
"synthpop",10,0.808318264014466,0.607695464806074,2.05074189044255e-51,"RF"
"synthpop",10,0.828209764918626,0.630566386209727,1.16336792225438e-58,"RF"
"synthpop",10,0.801084990958409,0.508034065257542,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.505294479786579,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.545998358300841,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.545854709624461,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.534342294274574,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.552349681920788,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.502821670428894,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.513420890621794,6.1935368641218e-49,"NN"
"synthpop",10,0.801084990958409,0.524020110814693,6.1935368641218e-49,"NN"
"synthpop",10,0.802893309222423,0.517812435871127,1.51152186105246e-49,"NN"
"synthpop",50,0.79746835443038,0.509686025035912,1.00514857289592e-47,"KNN"
"synthpop",50,0.799276672694394,0.51210753129489,2.50918519674206e-48,"KNN"
"synthpop",50,0.773960216998192,0.511009644982557,2.54690821438032e-40,"KNN"
"synthpop",50,0.76130198915009,0.513092550790068,1.18803555732639e-36,"KNN"
"synthpop",50,0.788426763110307,0.486455981941309,8.77832619975931e-45,"KNN"
"synthpop",50,0.770343580470163,0.578226964908681,2.99425550333005e-39,"KNN"
"synthpop",50,0.770343580470163,0.535871126616048,2.99425550333005e-39,"KNN"
"synthpop",50,0.79746835443038,0.522337369177098,1.00514857289592e-47,"KNN"
"synthpop",50,0.79746835443038,0.497722142417402,1.00514857289592e-47,"KNN"
"synthpop",50,0.766726943942134,0.530114918941104,3.37934609046479e-38,"KNN"
"synthpop",50,0.755877034358047,0.51174840960394,3.81949458838816e-35,"KNN"
"synthpop",50,0.772151898734177,0.521865380668992,8.77768709377357e-40,"KNN"
"synthpop",50,0.757685352622061,0.518705109788631,1.21307933285093e-35,"KNN"
"synthpop",50,0.78119349005425,0.573230043094603,1.62721753992764e-42,"KNN"
"synthpop",50,0.748643761301989,0.53502975579725,3.40586210871614e-33,"KNN"
"synthpop",50,0.766726943942134,0.531797660578699,3.37934609046479e-38,"KNN"
"synthpop",50,0.775768535262206,0.553611738148984,7.31413202902186e-41,"KNN"
"synthpop",50,0.788426763110307,0.54684998973938,8.77832619975931e-45,"KNN"
"synthpop",50,0.770343580470163,0.550297557972502,2.99425550333005e-39,"KNN"
"synthpop",50,0.79746835443038,0.516796634516725,1.00514857289592e-47,"KNN"
"synthpop",50,0.763110307414105,0.539564949722963,3.6630366590815e-37,"KNN"
"synthpop",50,0.772151898734177,0.53094602914016,8.77768709377357e-40,"KNN"
"synthpop",50,0.788426763110307,0.516827416375949,8.77832619975931e-45,"KNN"
"synthpop",50,0.793851717902351,0.502349681920788,1.55979744793666e-46,"KNN"
"synthpop",50,0.763110307414105,0.493576852041863,3.6630366590815e-37,"KNN"
"synthpop",50,0.750452079566004,0.543402421506259,1.12451709959753e-33,"KNN"
"synthpop",50,0.770343580470163,0.548399343320336,2.99425550333005e-39,"KNN"
"synthpop",50,0.766726943942134,0.5105992201929,3.37934609046479e-38,"KNN"
"synthpop",50,0.770343580470163,0.522501539092961,2.99425550333005e-39,"KNN"
"synthpop",50,0.766726943942134,0.515144674738354,3.37934609046479e-38,"KNN"
"synthpop",50,0.766726943942134,0.546265134414119,3.37934609046479e-38,"KNN"
"synthpop",50,0.766726943942134,0.545752103427047,3.37934609046479e-38,"KNN"
"synthpop",50,0.755877034358047,0.529950749025241,3.81949458838816e-35,"KNN"
"synthpop",50,0.793851717902351,0.506895136466243,1.55979744793666e-46,"KNN"
"synthpop",50,0.770343580470163,0.524769136055818,2.99425550333005e-39,"KNN"
"synthpop",50,0.784810126582278,0.507993022778576,1.22102401771172e-43,"KNN"
"synthpop",50,0.793851717902351,0.517114713728709,1.55979744793666e-46,"KNN"
"synthpop",50,0.779385171790235,0.527467679047814,5.84663226965659e-42,"KNN"
"synthpop",50,0.764918625678119,0.496983377796019,1.11819321284534e-37,"KNN"
"synthpop",50,0.772151898734177,0.519310486353376,8.77768709377357e-40,"KNN"
"synthpop",50,0.788426763110307,0.525179560845475,8.77832619975931e-45,"KNN"
"synthpop",50,0.786618444846293,0.5412579519803,3.29159451842849e-44,"KNN"
"synthpop",50,0.784810126582278,0.54519802996101,1.22102401771172e-43,"KNN"
"synthpop",50,0.773960216998192,0.50293453724605,2.54690821438032e-40,"KNN"
"synthpop",50,0.788426763110307,0.51804843012518,8.77832619975931e-45,"KNN"
"synthpop",50,0.777576853526221,0.516016827416376,2.0787510656893e-41,"KNN"
"synthpop",50,0.788426763110307,0.534414118612764,8.77832619975931e-45,"KNN"
"synthpop",50,0.788426763110307,0.520510978863123,8.77832619975931e-45,"KNN"
"synthpop",50,0.763110307414105,0.529632669813257,3.6630366590815e-37,"KNN"
"synthpop",50,0.792043399638336,0.510168274163759,6.0432858558338e-46,"KNN"
"synthpop",50,0.815551537070524,0.649538272111636,5.63256958791629e-54,"RF"
"synthpop",50,0.824593128390597,0.584906628360353,2.69937401581659e-57,"RF"
"synthpop",50,0.810126582278481,0.598327518982147,4.77873840570446e-52,"RF"
"synthpop",50,0.817359855334539,0.608721526780218,1.25151672075395e-54,"RF"
"synthpop",50,0.820976491862568,0.605910116971065,5.95734734394429e-56,"RF"
"synthpop",50,0.820976491862568,0.644418222860661,5.95734734394429e-56,"RF"
"synthpop",50,0.819168173598553,0.619905602298379,2.74725684146031e-55,"RF"
"synthpop",50,0.815551537070524,0.624266365688488,5.63256958791629e-54,"RF"
"synthpop",50,0.820976491862568,0.629827621588344,5.95734734394429e-56,"RF"
"synthpop",50,0.817359855334539,0.633459880976811,1.25151672075395e-54,"RF"
"synthpop",50,0.820976491862568,0.577344551610917,5.95734734394429e-56,"RF"
"synthpop",50,0.822784810126582,0.600554073466037,1.27601352856993e-56,"RF"
"synthpop",50,0.817359855334539,0.593443463985225,1.25151672075395e-54,"RF"
"synthpop",50,0.817359855334539,0.641247691360558,1.25151672075395e-54,"RF"
"synthpop",50,0.810126582278481,0.593433203365483,4.77873840570446e-52,"RF"
"synthpop",50,0.810126582278481,0.596224091935153,4.77873840570446e-52,"RF"
"synthpop",50,0.820976491862568,0.588015596142007,5.95734734394429e-56,"RF"
"synthpop",50,0.820976491862568,0.61912579519803,5.95734734394429e-56,"RF"
"synthpop",50,0.808318264014466,0.609244818387031,2.05074189044255e-51,"RF"
"synthpop",50,0.822784810126582,0.630330391955674,1.27601352856993e-56,"RF"
"synthpop",50,0.806509945750452,0.598122306587318,8.69833515782636e-51,"RF"
"synthpop",50,0.824593128390597,0.608136671454956,2.69937401581659e-57,"RF"
"synthpop",50,0.826401446654611,0.62349681920788,5.63938910392889e-58,"RF"
"synthpop",50,0.81374321880651,0.599415144674738,2.50466469992628e-53,"RF"
"synthpop",50,0.810126582278481,0.604607018263903,4.77873840570446e-52,"RF"
"synthpop",50,0.811934900542496,0.62220398112046,1.10053917994574e-52,"RF"
"synthpop",50,0.817359855334539,0.623476297968397,1.25151672075395e-54,"RF"
"synthpop",50,0.820976491862568,0.594726041452904,5.95734734394429e-56,"RF"
"synthpop",50,0.808318264014466,0.599620357069567,2.05074189044255e-51,"RF"
"synthpop",50,0.81374321880651,0.622245023599425,2.50466469992628e-53,"RF"
"synthpop",50,0.795660036166365,0.623455776728914,3.98166360436011e-47,"RF"
"synthpop",50,0.820976491862568,0.631551405704905,5.95734734394429e-56,"RF"
"synthpop",50,0.817359855334539,0.618243381900267,1.25151672075395e-54,"RF"
"synthpop",50,0.810126582278481,0.634998973938026,4.77873840570446e-52,"RF"
"synthpop",50,0.819168173598553,0.607213215678227,2.74725684146031e-55,"RF"
"synthpop",50,0.826401446654611,0.628093576852042,5.63938910392889e-58,"RF"
"synthpop",50,0.817359855334539,0.563472193720501,1.25151672075395e-54,"RF"
"synthpop",50,0.815551537070524,0.610773650728504,5.63256958791629e-54,"RF"
"synthpop",50,0.822784810126582,0.575528421916684,1.27601352856993e-56,"RF"
