"Method","M","Mean_R2","Mean_RMSE","Mean_MAE"
"arf",5,0.802,5288.339,3700.935
"arf",10,0.812,5158.983,3593.4
"arf",50,0.817,5094.838,3548.785
"ctgan",5,0.658,7679.063,5139.872
"ctgan",10,0.656,7674.252,5176.621
"ctgan",50,0.638,7817.712,5281.072
"privbayes",5,0.342,9995.667,7046.093
"privbayes",10,0.363,9936.114,7043.734
"privbayes",50,0.378,9819.072,7003.324
"synthpop",5,0.858,4413.397,2592.948
"synthpop",10,0.857,4422.283,2603.052
"synthpop",50,0.857,4426.285,2590.72
"tabsyn",5,0.824,4894.53,2955.816
"tabsyn",10,0.824,4887.241,2979.109
"tabsyn",50,0.828,4829.547,2932.833
"tvae",5,0.641,7545.112,5849.948
"tvae",10,0.643,7581.466,5923.158
"tvae",50,0.628,7685.353,6034.526
