"Method","M","Mean_NNDR_Synth","Mean_NNDR_Holdout","NNDR_Diff"
"arf",5,0.913,0.153,0.76
"arf",10,0.912,0.153,0.759
"arf",50,0.912,0.153,0.759
"ctgan",5,0.927,0.153,0.774
"ctgan",10,0.927,0.153,0.774
"ctgan",50,0.928,0.153,0.775
"privbayes",5,0.933,0.153,0.78
"privbayes",10,0.933,0.153,0.78
"privbayes",50,0.933,0.153,0.78
"synthpop",5,0.889,0.153,0.736
"synthpop",10,0.887,0.153,0.734
"synthpop",50,0.883,0.153,0.73
"tabsyn",5,0.906,0.153,0.753
"tabsyn",10,0.905,0.153,0.752
"tabsyn",50,0.905,0.153,0.752
"tvae",5,0.92,0.153,0.767
"tvae",10,0.92,0.153,0.767
"tvae",50,0.92,0.153,0.767
